ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2012,VARESE,F,65-79,8.80650544,45.80041256,72778,8.352480219984528,"(45.80041256, 8.80650544)"
2017,BERGAMO,F,ALL,9.63853045,45.68012929,560080,50.46070348390398,"(45.68012929, 9.63853045)"
2016,PAVIA,F,65-79,9.14034225,45.18407925,47607,8.68858203480032,"(45.18407925, 9.14034225)"
2014,MONZA E DELLA BRIANZA,ALL,18-39,9.258430902,45.5823624,215963,25.033847851588764,"(45.5823624, 9.258430902)"
2016,MANTOVA,M,40-64,10.77086348,45.14135331,76589,18.55048102541248,"(45.14135331, 10.77086348)"
2017,COMO,ALL,ALL,9.039360974,45.80216962,600190,5.990418763398071,"(45.80216962, 9.039360974)"
2015,CREMONA,ALL,0-17,10.0131151,45.13644491,57492,15.898896601310804,"(45.13644491, 10.0131151)"
2016,CREMONA,F,0-17,10.0131151,45.13644491,27417,7.60645204248094,"(45.13644491, 10.0131151)"
2012,BERGAMO,F,65-79,9.63853045,45.68012929,78610,7.23256263283313,"(45.68012929, 9.63853045)"
2012,LODI,M,18-39,9.510140481,45.31535435,30969,13.846525290732767,"(45.31535435, 9.510140481)"
2012,COMO,ALL,40-64,9.039360974,45.80216962,213038,36.30535365843267,"(45.80216962, 9.039360974)"
2015,LECCO,ALL,65-79,9.388156645,45.85028614,53211,15.638749041149033,"(45.85028614, 9.388156645)"
2014,BRESCIA,F,80 e +,10.18167955,45.51939749,48080,3.808935312268527,"(45.51939749, 10.18167955)"
2017,MANTOVA,ALL,ALL,10.77086348,45.14135331,412610,4.118207044378744,"(45.14135331, 10.77086348)"
2015,REGIONE LOMBARDIA,F,40-64,,,1846449,18.459662798178275,
2016,VARESE,F,ALL,8.80650544,45.80041256,457363,51.38390499837095,"(45.80041256, 8.80650544)"
2013,COMO,F,18-39,9.039360974,45.80216962,74986,12.655779539041086,"(45.80216962, 9.039360974)"
2013,LECCO,F,40-64,9.388156645,45.85028614,61161,18.072246435694765,"(45.85028614, 9.388156645)"
2013,SONDRIO,ALL,18-39,9.879429303,46.1707552,45523,25.13680211594635,"(46.1707552, 9.879429303)"
2012,CREMONA,ALL,80 e +,10.0131151,45.13644491,23891,6.681283401523011,"(45.13644491, 10.0131151)"
2017,COMO,ALL,0-17,9.039360974,45.80216962,99718,16.614405438277878,"(45.80216962, 9.039360974)"
2016,REGIONE LOMBARDIA,ALL,80 e +,,,645194,6.44655776891873,
2013,ITALIA,M,ALL,,,28889597,48.40326233491581,
2016,ITALIA,F,65-79,,,5013124,8.263543176258302,
2013,ITALIA,M,65-79,,,4066391,6.813061128174984,
2017,VARESE,M,40-64,8.80650544,45.80041256,164234,18.452366908115675,"(45.80041256, 8.80650544)"
2014,MILANO,ALL,40-64,9.18951,45.46427,1173134,36.93537519913859,"(45.46427, 9.18951)"
2014,COMO,F,65-79,9.039360974,45.80216962,48207,8.05046675907216,"(45.80216962, 9.039360974)"
2017,MONZA E DELLA BRIANZA,ALL,ALL,9.258430902,45.5823624,868859,8.671969303632657,"(45.5823624, 9.258430902)"
2013,VARESE,ALL,40-64,8.80650544,45.80041256,317920,36.25250866630177,"(45.80041256, 8.80650544)"
2015,PAVIA,ALL,ALL,9.14034225,45.18407925,548722,5.485785467100354,"(45.18407925, 9.14034225)"
2012,REGIONE LOMBARDIA,M,65-79,,,659064,6.793857176477064,
2014,PAVIA,F,0-17,9.14034225,45.18407925,40235,7.337788104157015,"(45.18407925, 9.14034225)"
2013,REGIONE LOMBARDIA,ALL,80 e +,,,585672,5.979585533754827,
2012,LECCO,M,ALL,9.388156645,45.85028614,164841,49.04128499049467,"(45.85028614, 9.388156645)"
2016,LECCO,F,0-17,9.388156645,45.85028614,28136,8.293491012633602,"(45.85028614, 9.388156645)"
2015,BRESCIA,ALL,ALL,10.18167955,45.51939749,1265077,12.647462688506955,"(45.51939749, 10.18167955)"
2017,ITALIA,ALL,18-39,,,14810655,24.4442823333338,
2017,MILANO,ALL,40-64,9.18951,45.46427,1193779,37.09460658299466,"(45.46427, 9.18951)"
2015,MONZA E DELLA BRIANZA,M,65-79,9.258430902,45.5823624,60886,7.042450642352096,"(45.5823624, 9.258430902)"
2014,BERGAMO,M,ALL,9.63853045,45.68012929,548492,49.52787552564877,"(45.68012929, 9.63853045)"
2014,SONDRIO,M,18-39,9.879429303,46.1707552,22913,12.5564445418676,"(46.1707552, 9.879429303)"
2015,LECCO,F,40-64,9.388156645,45.85028614,62286,18.305897704929595,"(45.85028614, 9.388156645)"
2013,PAVIA,M,ALL,9.14034225,45.18407925,260854,48.34488267487569,"(45.18407925, 9.14034225)"
2017,PAVIA,M,ALL,9.14034225,45.18407925,266487,48.695571136462064,"(45.18407925, 9.14034225)"
2013,REGIONE LOMBARDIA,M,18-39,,,1266916,12.934940693908075,
2014,MANTOVA,ALL,18-39,10.77086348,45.14135331,103866,25.019089623675466,"(45.14135331, 10.77086348)"
2016,MILANO,F,18-39,9.18951,45.46427,380222,11.850426475350389,"(45.46427, 9.18951)"
2017,MONZA E DELLA BRIANZA,F,40-64,9.258430902,45.5823624,165155,19.00826256043846,"(45.5823624, 9.258430902)"
2014,CREMONA,ALL,ALL,10.0131151,45.13644491,362141,3.63106973481553,"(45.13644491, 10.0131151)"
2017,LODI,M,80 e +,9.510140481,45.31535435,4647,2.026266907359443,"(45.31535435, 9.510140481)"
2015,MONZA E DELLA BRIANZA,ALL,0-17,9.258430902,45.5823624,148884,17.220842581807794,"(45.5823624, 9.258430902)"
2012,MILANO,M,40-64,9.18951,45.46427,535221,17.632385124675377,"(45.46427, 9.18951)"
2012,BRESCIA,M,40-64,10.18167955,45.51939749,221826,17.917008258788847,"(45.51939749, 10.18167955)"
2017,SONDRIO,M,65-79,9.879429303,46.1707552,13715,7.559097648219493,"(46.1707552, 9.879429303)"
2016,BRESCIA,M,65-79,10.18167955,45.51939749,87160,6.894996855482733,"(45.51939749, 10.18167955)"
2014,BRESCIA,F,18-39,10.18167955,45.51939749,161325,12.780293037681368,"(45.51939749, 10.18167955)"
2013,LODI,M,0-17,9.510140481,45.31535435,19858,8.794586311659094,"(45.31535435, 9.510140481)"
2014,VARESE,ALL,40-64,8.80650544,45.80041256,323590,36.440438424904585,"(45.80041256, 8.80650544)"
2016,MONZA E DELLA BRIANZA,M,40-64,9.258430902,45.5823624,162208,18.72907227541232,"(45.5823624, 9.258430902)"
2017,ITALIA,F,40-64,,,11371782,18.76858584857478,
2013,BRESCIA,ALL,65-79,10.18167955,45.51939749,173986,13.950217769196724,"(45.51939749, 10.18167955)"
2015,SONDRIO,ALL,18-39,9.879429303,46.1707552,43763,24.03424755335391,"(46.1707552, 9.879429303)"
2012,ITALIA,ALL,80 e +,,,3656285,6.155962314641225,
2016,LODI,ALL,65-79,9.510140481,45.31535435,34183,14.900201819426101,"(45.31535435, 9.510140481)"
2014,SONDRIO,ALL,0-17,9.879429303,46.1707552,30247,16.575515124945202,"(46.1707552, 9.879429303)"
2014,VARESE,M,0-17,8.80650544,45.80041256,76338,8.596650664360354,"(45.80041256, 8.80650544)"
2012,SONDRIO,ALL,80 e +,9.879429303,46.1707552,10851,6.002788134936879,"(46.1707552, 9.879429303)"
2017,SONDRIO,ALL,40-64,9.879429303,46.1707552,68377,37.68635945259236,"(46.1707552, 9.879429303)"
2016,LODI,M,0-17,9.510140481,45.31535435,20016,8.724876096821017,"(45.31535435, 9.510140481)"
2016,PAVIA,ALL,65-79,9.14034225,45.18407925,88579,16.166234126506136,"(45.18407925, 9.14034225)"
2017,ITALIA,M,65-79,,,4349981,7.179436946484656,
2015,CREMONA,F,18-39,10.0131151,45.13644491,42881,11.858355687066176,"(45.13644491, 10.0131151)"
2017,BERGAMO,F,0-17,9.63853045,45.68012929,96953,8.735031754168945,"(45.68012929, 9.63853045)"
2013,MANTOVA,F,65-79,10.77086348,45.14135331,33993,8.264067001349265,"(45.14135331, 10.77086348)"
2017,VARESE,F,ALL,8.80650544,45.80041256,457248,51.37369767528086,"(45.80041256, 8.80650544)"
2015,SONDRIO,ALL,40-64,9.879429303,46.1707552,68337,37.530068209527364,"(46.1707552, 9.879429303)"
2016,CREMONA,F,80 e +,10.0131151,45.13644491,17372,4.81961136820144,"(45.13644491, 10.0131151)"
2015,BERGAMO,M,80 e +,9.63853045,45.68012929,20081,1.810970435215488,"(45.68012929, 9.63853045)"
2014,LODI,ALL,0-17,9.510140481,45.31535435,39094,17.065504928366263,"(45.31535435, 9.510140481)"
2017,COMO,M,40-64,9.039360974,45.80216962,112490,18.742398240557158,"(45.80216962, 9.039360974)"
2015,MANTOVA,ALL,80 e +,10.77086348,45.14135331,29967,7.222373523506997,"(45.14135331, 10.77086348)"
2013,BRESCIA,F,80 e +,10.18167955,45.51939749,46903,3.760688009544641,"(45.51939749, 10.18167955)"
2016,MONZA E DELLA BRIANZA,ALL,80 e +,9.258430902,45.5823624,52366,6.046351590391605,"(45.5823624, 9.258430902)"
2017,LECCO,F,18-39,9.388156645,45.85028614,38152,11.246381596401346,"(45.85028614, 9.388156645)"
2015,LODI,M,40-64,9.510140481,45.31535435,43349,18.882200229989195,"(45.31535435, 9.510140481)"
2016,COMO,ALL,40-64,9.039360974,45.80216962,223964,37.348871182381835,"(45.80216962, 9.039360974)"
2013,LODI,M,ALL,9.510140481,45.31535435,110925,49.12576727871814,"(45.31535435, 9.510140481)"
